Temperatura_Max,Temperatura_Min,Umidade_Max,Ventania,Precipitacao,Nuvem,Pressao
25.3,11.8,71.5,8.3,0.0,5.0,1019.9
25.3,11.9,65.5,7.9,0.0,3.0,1019.1
24.5,11.9,66.1,7.8,0.0,3.0,1018.3
23.7,11.9,66.7,8.1,0.0,2.0,1017.5
22.9,12.1,67.4,8.7,0.0,1.0,1016.7
20.4,12.1,74.8,8.7,0.0,3.0,1017.3
20.4,12.1,83.2,8.3,0.0,5.0,1017.9
20.4,12.1,92.4,8.2,0.0,7.0,1018.5
20.4,12.1,94.2,8.2,0.0,7.0,1018.9
20.4,12.1,94.8,7.9,0.0,8.0,1019.4
20.4,12.1,95.8,7.5,0.0,8.0,1019.8
20.4,12.1,95.5,7.2,0.0,8.0,1019.7
20.4,12.1,95.6,6.9,0.0,8.0,1019.5
20.4,12.1,95.8,6.6,0.0,8.0,1019.3
20.4,12.1,95.3,6.3,0.0,8.0,1018.7
20.4,12.1,94.0,5.8,0.0,8.0,1018.0
20.4,12.1,92.6,5.8,0.0,8.0,1017.4
20.4,12.1,91.3,6.5,0.0,8.0,1017.7
20.4,12.1,91.4,7.2,0.0,8.0,1018.1
20.4,12.1,89.0,7.6,0.0,8.0,1018.4
20.4,12.8,80.8,7.6,0.0,5.0,1018.8
20.3,13.4,73.8,6.7,0.0,3.0,1019.1
20.8,13.9,67.9,5.9,0.0,0.0,1019.4
23.6,13.9,56.4,5.5,0.0,0.0,1018.5
26.4,13.7,47.6,4.4,0.0,0.0,1017.6
29.2,13.6,41.0,3.2,0.0,0.0,1016.7
30.0,13.5,34.9,2.5,0.0,0.0,1015.6
31.0,13.4,29.7,2.7,0.0,0.0,1014.5
32.0,13.4,25.1,2.8,0.0,1.0,1013.4
32.0,13.4,25.5,3.5,0.0,1.0,1014.1
32.0,13.4,28.0,5.0,0.0,0.0,1014.7
32.0,13.4,32.8,6.4,0.0,0.0,1015.3
32.0,13.4,37.8,6.4,0.0,0.0,1016.1
32.0,13.4,45.1,5.6,0.0,0.0,1017.0
32.0,13.4,55.0,4.8,0.0,0.0,1017.8
32.0,13.5,56.0,4.9,0.0,0.0,1017.9
32.0,13.7,57.0,5.9,0.0,0.0,1018.0
